tai17a.dat,RandomWalk,MPermutation,numberOfIterations,100,1.1929355,142591
tai17a.dat,RandomWalk,MPermutation,numberOfIterations,1,1.303919,5860
tai17a.dat,RandomWalk,MPermutation,numberOfIterations,10000,1.1320525,854654
tai17a.dat,RandomWalk,MPermutation,numberOfIterations,10,1.2392215,16943
tai17a.dat,RandomWalk,MPermutation,numberOfIterations,100000,1.1098367,5554224
tai17a.dat,RandomWalk,MPermutation,numberOfIterations,1000,1.1575805,239009
tai12a.dat,RandomWalk,MPermutation,numberOfIterations,100,1.2119946,108170
tai12a.dat,RandomWalk,MPermutation,numberOfIterations,1,1.4900541,3284
tai12a.dat,RandomWalk,MPermutation,numberOfIterations,10000,1.153866,541757
tai12a.dat,RandomWalk,MPermutation,numberOfIterations,10,1.3183106,13204
tai12a.dat,RandomWalk,MPermutation,numberOfIterations,100000,1.1094708,2855606
tai12a.dat,RandomWalk,MPermutation,numberOfIterations,1000,1.159739,199657
tai40a.dat,RandomWalk,MPermutation,numberOfIterations,100,1.185055,197989
tai40a.dat,RandomWalk,MPermutation,numberOfIterations,1,1.226747,11215
tai40a.dat,RandomWalk,MPermutation,numberOfIterations,10000,1.150929,3516119
tai40a.dat,RandomWalk,MPermutation,numberOfIterations,10,1.2086087,116593
tai40a.dat,RandomWalk,MPermutation,numberOfIterations,100000,1.1410369,33678976
tai40a.dat,RandomWalk,MPermutation,numberOfIterations,1000,1.162953,653698
tai25a.dat,RandomWalk,MPermutation,numberOfIterations,100,1.1892413,165617
tai25a.dat,RandomWalk,MPermutation,numberOfIterations,1,1.2337388,3409
tai25a.dat,RandomWalk,MPermutation,numberOfIterations,10000,1.1450453,1577854
tai25a.dat,RandomWalk,MPermutation,numberOfIterations,10,1.203252,46511
tai25a.dat,RandomWalk,MPermutation,numberOfIterations,100000,1.1335114,12162422
tai25a.dat,RandomWalk,MPermutation,numberOfIterations,1000,1.1629514,352211
tai50a.dat,RandomWalk,MPermutation,numberOfIterations,100,1.1719816,236849
tai50a.dat,RandomWalk,MPermutation,numberOfIterations,1,1.2060248,15941
tai50a.dat,RandomWalk,MPermutation,numberOfIterations,10000,1.1503494,5327587
tai50a.dat,RandomWalk,MPermutation,numberOfIterations,10,1.1933221,97134
tai50a.dat,RandomWalk,MPermutation,numberOfIterations,100000,1.1450473,52602883
tai50a.dat,RandomWalk,MPermutation,numberOfIterations,1000,1.157992,834597
tai100a.dat,RandomWalk,MPermutation,numberOfIterations,100,1.134135,522581
tai100a.dat,RandomWalk,MPermutation,numberOfIterations,1,1.1388699,86805
tai100a.dat,RandomWalk,MPermutation,numberOfIterations,10000,1.1225767,22489070
tai100a.dat,RandomWalk,MPermutation,numberOfIterations,10,1.1369069,187671
tai100a.dat,RandomWalk,MPermutation,numberOfIterations,100000,1.1201347,215022768
tai100a.dat,RandomWalk,MPermutation,numberOfIterations,1000,1.1307958,2667206
tai15a.dat,RandomWalk,MPermutation,numberOfIterations,100,1.1778967,129665
tai15a.dat,RandomWalk,MPermutation,numberOfIterations,1,1.2334176,2445
tai15a.dat,RandomWalk,MPermutation,numberOfIterations,10000,1.0945612,701451
tai15a.dat,RandomWalk,MPermutation,numberOfIterations,10,1.238912,10136
tai15a.dat,RandomWalk,MPermutation,numberOfIterations,100000,1.0844302,4373092
tai15a.dat,RandomWalk,MPermutation,numberOfIterations,1000,1.1334187,211772
tai60a.dat,RandomWalk,MPermutation,numberOfIterations,100,1.1561271,276792
tai60a.dat,RandomWalk,MPermutation,numberOfIterations,1,1.1758057,19198
tai60a.dat,RandomWalk,MPermutation,numberOfIterations,10000,1.1478456,7605174
tai60a.dat,RandomWalk,MPermutation,numberOfIterations,10,1.1678152,137747
tai60a.dat,RandomWalk,MPermutation,numberOfIterations,100000,1.1402547,75037106
tai60a.dat,RandomWalk,MPermutation,numberOfIterations,1000,1.1560304,1114151
tai30a.dat,RandomWalk,MPermutation,numberOfIterations,100,1.1708531,170093
tai30a.dat,RandomWalk,MPermutation,numberOfIterations,1,1.229833,8085
tai30a.dat,RandomWalk,MPermutation,numberOfIterations,10000,1.1369433,2134486
tai30a.dat,RandomWalk,MPermutation,numberOfIterations,10,1.2107713,56364
tai30a.dat,RandomWalk,MPermutation,numberOfIterations,100000,1.1314311,18935538
tai30a.dat,RandomWalk,MPermutation,numberOfIterations,1000,1.1603673,405788
tai80a.dat,RandomWalk,MPermutation,numberOfIterations,100,1.14815,377150
tai80a.dat,RandomWalk,MPermutation,numberOfIterations,1,1.1634479,36381
tai80a.dat,RandomWalk,MPermutation,numberOfIterations,10000,1.1323195,13551109
tai80a.dat,RandomWalk,MPermutation,numberOfIterations,10,1.1574043,150215
tai80a.dat,RandomWalk,MPermutation,numberOfIterations,100000,1.129408,137395731
tai80a.dat,RandomWalk,MPermutation,numberOfIterations,1000,1.1343033,1833352
tai20a.dat,RandomWalk,MPermutation,numberOfIterations,100,1.1972005,110100
tai20a.dat,RandomWalk,MPermutation,numberOfIterations,1,1.2641546,6363
